Date;Open;High;Low;Close;Adj Close;Volume
30/03/2023;19.459.999;20.010.000;19.320.000;19.590.000;19.590.000;2629800
31/03/2023;19.580.000;19.940.001;19.209.999;19.360.001;19.360.001;2257200
03/04/2023;19.209.999;19.420.000;18.930.000;19.240.000;19.240.000;1791700
04/04/2023;19.150.000;19.309.999;18.600.000;18.870.001;18.870.001;2665100
05/04/2023;18.860.001;19.580.000;18.740.000;19.540.001;19.540.001;3658500
06/04/2023;19.540.001;19.799.999;19.100.000;19.530.001;19.530.001;3200300
10/04/2023;19.740.000;20.360.001;19.660.000;20.309.999;20.309.999;2330100
11/04/2023;20.500.000;20.980.000;20.420.000;20.780.001;20.780.001;2770400
12/04/2023;20.770.000;20.889.999;20.230.000;20.450.001;20.450.001;2238900
13/04/2023;20.480.000;20.590.000;20.059.999;20.360.001;20.360.001;1838300
14/04/2023;20.450.001;21.690.001;20.450.001;20.799.999;20.799.999;5664200
17/04/2023;20.879.999;20.879.999;20.120.001;20.400.000;20.400.000;2154100
18/04/2023;20.450.001;20.510.000;19.629.999;19.940.001;19.940.001;2470600
19/04/2023;19.740.000;19.969.999;19.400.000;19.780.001;19.780.001;1751400
20/04/2023;19.860.001;20.000.000;19.170.000;19.350.000;19.350.000;4021300
24/04/2023;19.049.999;19.049.999;18.260.000;18.510.000;18.510.000;3535300
25/04/2023;18.420.000;19.799.999;18.400.000;19.430.000;19.430.000;5543200
26/04/2023;19.510.000;19.629.999;18.940.001;18.959.999;18.959.999;1875600
27/04/2023;18.820.000;19.160.000;18.700.001;18.930.000;18.930.000;1801800
28/04/2023;18.959.999;19.990.000;18.840.000;19.790.001;19.790.001;2725500
02/05/2023;19.700.001;19.780.001;18.719.999;18.809.999;18.809.999;2645800
03/05/2023;18.830.000;18.930.000;18.280.001;18.889.999;18.889.999;1926300
